danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,popularity,artists,album-name,release-date,name,lyrics,perplexity,nll,vader_sentiment,song_length,genre,topic_modelling
0.544,0.383,3,-10.143,0,0.0334,0.67,0.00204,0.125,0.367,145.025,audio_features,4w3zR0z2oqv8ijhOkTnRvT,spotify:track:4w3zR0z2oqv8ijhOkTnRvT,https://api.spotify.com/v1/tracks/4w3zR0z2oqv8ijhOkTnRvT,https://api.spotify.com/v1/audio-analysis/4w3zR0z2oqv8ijhOkTnRvT,302827,4,48,Blue Foundation,Eyes On Fire,2007,Eyes on Fire, I'll seek you outFlay you aliveOne more word and you won't surviveAnd I'm not scared of your stolen powerI see right through you any hour I won't soothe your painI won't ease your strainYou'll be waiting in vainI got nothing for you to gain I'm taking it slowFeeding my flameShuffling the cards of your gameAnd just in timeIn the right placeSuddenly I will play my ace I won't soothe your painI won't ease your strainYou'll be waiting in vainI got nothing for you to gain,27.34733963,15.99165943,0.242,839,Electronic,0
0.816,0.414,1,-7.953,1,0.119,0.423,0,0.125,0.197,150.008,audio_features,5e0RPsQUTQu0A29wqD6bZR,spotify:track:5e0RPsQUTQu0A29wqD6bZR,https://api.spotify.com/v1/tracks/5e0RPsQUTQu0A29wqD6bZR,https://api.spotify.com/v1/audio-analysis/5e0RPsQUTQu0A29wqD6bZR,230129,4,7,Future,FUTURE,8/4/17,Super Trapper," The top come off the Lamb 'cause I'm a super trapperMy pockets on Fat Albert, I'm a super trapper I came up from out the 'partments where they trigger happyBought my bitch a brand new Rollie and she still ain't happyGot that Cartier with diamonds and I'm laughing at ya911 Turbo Porsche 'cause I'm a super trapperYoung Pluto is out the trenches but I'm big and badderI can't never go back broke and that what really matterTryna sabotage my crew? Boy, you a swagger jacker911 Turbo Porsche 'cause I'm a super trapper Rags to riches, fuck these snitches I ain't scared, bruhCold and sheisty, put some prices on your headI'm a product of the young nigga with dreads, yeahYeah, my left wrist cost a bird, I'm a Tropicana serveShawty unsure, hope we don't do no shermCame from out the Kirk, made myself a donI gotta do payroll, my check on Jose CansecoFirst class Saint Tropez ho, you do whatever I say so The top come out the Lamb 'cause I'm a super trapperMy pockets on Fat Albert I'm a super trapperTwo door Maybach on the schedule that's the latestHard top 'Rari, Double R, hey, that's Mercedes",81.25931549,21.91107498,0.9979,3444,Hip hop,2
0.641,0.502,5,-8.649,0,0.0277,0.751,0.0028,0.0916,0.503,136.071,audio_features,4qmtgSAXW6MRXn8GvbeTKn,spotify:track:4qmtgSAXW6MRXn8GvbeTKn,https://api.spotify.com/v1/tracks/4qmtgSAXW6MRXn8GvbeTKn,https://api.spotify.com/v1/audio-analysis/4qmtgSAXW6MRXn8GvbeTKn,197175,4,0,Half Moon Run,Dark Eyes,2012,Nerve,"There's a lot of nothing in the words, I knowBut I keep on talking cause it feels like homeFeels all right to be growing oldBut growing old is just letting goAnd it's just the reason I needed to leave this placeI took the whole morning to run awayI had a different image on my mindIt's just it changes always, all the timeAnd it comes as no surprise it's likeAnd I just don't know what you're doing wrong yeah, wrongMan you've got a lot of nerveAnd I just don't know what you're doing wrong yeah, wrongMan you've got a lot of nerveHow come all my vices always breed reliefBut a sip of gin saves an hour of speech?And yeah it's fickle and it feels so cheapBut I can rest and I can feel it easesIt's my friends don't know the half they're just listeningI'm at a loss cause I'm living itIt's not to say that I'm giving inIt's just that this is how it's always beenAnd it comes as no surprise it's like",24.85119057,15.92173019,-0.5023,1265,Other,0
0.633,0.964,2,-3.573,1,0.0298,0.158,0.0159,0.204,0.188,124.022,audio_features,2TVTszXEjrSS7CwKgfcmwB,spotify:track:2TVTszXEjrSS7CwKgfcmwB,https://api.spotify.com/v1/tracks/2TVTszXEjrSS7CwKgfcmwB,https://api.spotify.com/v1/audio-analysis/2TVTszXEjrSS7CwKgfcmwB,155963,4,21,Cedric Gervais,Touch the Sky,5/5/17,Touch the Sky," You get me so high I touch the skyIt's been raining but I don't know whyBut if the rain don't fall down then the sun won't shineYou get me so high I touch the sky You get me so high, so high, so highSo high, so high, so highYou get me so high You get me so, you get me soYou get me so, me so, me so high You get me so high I touch the skyIt's been raining but I don't know whyBut if the rain don't fall down then the sun won't shineYou get me so high I touch the sky You get me so high, so high, so highSo high, so high, so highYou get me so high",3.814747334,6.564803334,0,707,Other,1
0.812,0.542,7,-5.403,0,0.0444,0.294,6.92E-05,0.141,0.733,110.268,audio_features,763p5nkQytkOE7xmsFyu8y,spotify:track:763p5nkQytkOE7xmsFyu8y,https://api.spotify.com/v1/tracks/763p5nkQytkOE7xmsFyu8y,https://api.spotify.com/v1/audio-analysis/763p5nkQytkOE7xmsFyu8y,240987,4,51,Ed Sheeran,x (Wembley Edition),2013,Touch and Go," Oh oh ohOh oh ohOh oh ohOh oh oh Waking up, midnight NovemberAnd you're still in my bedIt's kinda rough, cause since I met yaThere's things we've never said So if I go for a little while longerWhen I'm home we can talk about the pitfalls of the roadIf you say go, I would stop everything ohMy heart would play the role nowAnd act like it's never been broke Though my soul, oh oh ohLately I really need to knowHow long, how long, can we be touch and goOh my soul, oh oh ohHow long, how long, can we be touch and go",34.48503494,17.57149718,0.9202,1589,Other,4
0.771,0.225,7,-10.274,1,0.047,0.943,0.000141,0.271,0.267,129.907,audio_features,5VD3oQilL00HfIEW6ICSQq,spotify:track:5VD3oQilL00HfIEW6ICSQq,https://api.spotify.com/v1/tracks/5VD3oQilL00HfIEW6ICSQq,https://api.spotify.com/v1/audio-analysis/5VD3oQilL00HfIEW6ICSQq,191587,4,50,Shakira,El Dorado,5/26/17,Toneladas,"Letra de Toneladas En el cómputo global de las cosas si debemos hacer un recuentoNo me dejas ser infeliz a pesar de mis intentosEres como un querubín que vuela y vuela y vuelaCantando canciones de amor cerca de mí aunque me duela Es el sol detrás de tu risaQue me ciega y me deslumbraY tu piel que roza la miaPero aún no se acostumbraEs la luz detrás de tus ojosQue ilumina mi penumbraY que va brillando más fuerte y soy feliz, muy feliz Y me das toneladas masivas de amorNo dejas un respiro a mi corazónTú me armas, me desarmasNunca me dejas caerTan bajo me levantas Para mí este mundo sin ti no sería más que un mal inventoUna pésima combinacion de mucho estrés y aburrimientoY si no fuera por ti, habría renunciado a mis sueñosY si no fuera por ti, iría como un perro sin dueño",66.4803009,20.69999303,-0.8555,1370,Rap,3
0.774,0.708,9,-7.97,0,0.0832,0.195,0.115,0.157,0.477,113.906,audio_features,7qij4Or4NGEC24Y27N7vaZ,spotify:track:7qij4Or4NGEC24Y27N7vaZ,https://api.spotify.com/v1/tracks/7qij4Or4NGEC24Y27N7vaZ,https://api.spotify.com/v1/audio-analysis/7qij4Or4NGEC24Y27N7vaZ,170720,4,0,Hayden James,Just a Lover,6/17/16,Just a Lover," It could be so simpleI could be so true to youYou were just a loverIn my heart, in my heartYou were temporaryYou were just anotherYou were just a loverI can't bear for you to leaveIt could be so simpleI could be so true to youYou were just a loverIn my heart, in my heartYou were temporaryYou were just anotherYou were just a loverI can't bear for you to leave In my heart, you were just a loverIn my heart, you were just a loverIn my heart, you were just a loverI can't bear for you to leaveIn my heart, you were just a loverIn my heart, you were just a loverIn my heart, you were just a loverI can't bare for you to leaveIn my heartIn my heart, you were just a loverIn my heart, you were just a loverI can't bear for you to leave",3.239644289,5.784517855,0.9985,1371,Other,0
0.684,0.582,5,-5.791,0,0.0746,0.13,0,0.0972,0.112,119.687,audio_features,4e1OZ6NaAdQjYYfWk8eDh3,spotify:track:4e1OZ6NaAdQjYYfWk8eDh3,https://api.spotify.com/v1/tracks/4e1OZ6NaAdQjYYfWk8eDh3,https://api.spotify.com/v1/audio-analysis/4e1OZ6NaAdQjYYfWk8eDh3,227310,4,0,Nines,One Foot Out,2/10/17,Nervous," Something in your voiceIs tellin' me that you don't wanna leave until the mornin'And that's ok with meCause Imma kill that pussy in the mornin' you'll be moanin'Imma give you AmnesiaLay you out and downHave you screamin' downWhen I break your damn holeI ain't no angel and neither are you, noI don't want no-one else just be you and we're good Don't be nervous babe, don't be nervousDon't be shy now, don't be shyDon't be nervous babe, don't be nervousDon't be shyTonight we're goin' all the wayLet me work my magic on you, girlDon't be nervous babe, don't be nervousDon't be shy now, don't be shy I see them niggas with their new chainsThat shit ain't even worth my bitch's shoe gameHer ex is hatin' cause I stole his girlBut that little nigga there can hold a shellI know that nigga used to treat you wrongI won't lead you wrong cause my Ps is longCome to my yard and chillHelp me count this half a milGot the rollie on or the audemarShe see me pull up in that Porsche carPlus she hear I fuck like a pornstarBaby let me take off that sports braIt feels like months, and we ain't spoke in daysI ain't gonna chase her but I hope she staysGive me a chance, cause I'd be more than niceHave you livin' like a footballer wife",38.66093063,18.10546272,0.9954,2522,Other,1
0.595,0.724,0,-6.116,1,0.144,0.1,0,0.056,0.872,196.052,audio_features,7qxgfIAuWUY9VHLn35Sqwg,spotify:track:7qxgfIAuWUY9VHLn35Sqwg,https://api.spotify.com/v1/tracks/7qxgfIAuWUY9VHLn35Sqwg,https://api.spotify.com/v1/audio-analysis/7qxgfIAuWUY9VHLn35Sqwg,171375,4,38,Sonido De La Costa,La Búsqueda,3/17/17,Dame Bola,"  Solo con verte se me para el corazónBailas y pierdo la razónNunca me hablaste pero ya me enamoréY es que yo ya no sé qué hacerPorque me ganan los nervios si te tengo en frenteTienes que saber que no sales de mi menteNo sé qué decir, no sé cómo actuarPero ya fue, yo le voy a hablar Hola, dame bolaYo pienso en ti en todo momento y vos a mí no me das ni la horaHola, dame bolaYo quiero estar contigo el resto de mis horas Porque el sonidoEs de La Costa Solo con verte se me para el corazónBailas y pierdo la razónNunca me hablaste pero ya me enamoréY es que yo ya no sé qué hacerPorque me ganan los nervios si te tengo en frenteTienes que saber que no sales de mi menteNo sé qué decir, no sé cómo actuarPero ya fue, yo le voy a hablar",12.78194046,12.55816292,-0.9744,1600,Other,3
0.645,0.527,1,-6.727,1,0.362,0.463,0.00219,0.0952,0.645,95.208,audio_features,3GWVkWWgn7su8Z06oBjiiX,spotify:track:3GWVkWWgn7su8Z06oBjiiX,https://api.spotify.com/v1/tracks/3GWVkWWgn7su8Z06oBjiiX,https://api.spotify.com/v1/audio-analysis/3GWVkWWgn7su8Z06oBjiiX,259600,4,16,Unknown Mortal Orchestra,Multi-Love,5/26/15,The World Is Crowded," Woo, the world is crowdedWoo-oo, did your doctor prescribe me, baba?Woo, the world is crowdedWoo-oo, did your doctor prescribe me, baba?Woo, the world is crowdedWoo-oo, did your doctor prescribe me, baba?Woo, the world is crowdedWoo-oo, did your doctor prescribe me for what ails you, dear? She made me buy her a chameleonWith each eye on a different sunShe made me watch EvangelionIn another life, did she blow my brains out? Woo, the world is crowdedWoo-oo, did your doctor prescribe me, baba?Woo, the world is crowdedWoo-oo, did your doctor prescribe me, baba?Woo, the world is crowdedWoo-oo, did your doctor prescribe me, baba?Woo, the world is crowdedWoo-oo, did your doctor prescribe me for what ails you, dear?",4.258883476,7.141534282,0.9925,1257,Hip hop,3
0.537,0.558,11,-8.678,1,0.0929,0.263,0.91,0.102,0.505,131.037,audio_features,1MJ5f5EYBC92ADD6xcz7nb,spotify:track:1MJ5f5EYBC92ADD6xcz7nb,https://api.spotify.com/v1/tracks/1MJ5f5EYBC92ADD6xcz7nb,https://api.spotify.com/v1/audio-analysis/1MJ5f5EYBC92ADD6xcz7nb,231724,4,48,Mac DeMarco,Salad Days,4/1/14,Chamber Of Reflection,"  Spend some time awayGetting ready for the day you're born againSpend some time aloneUnderstand that soon you'll run with better menAlone again Alone againAlone againAlone againAlone No use looking outIt’s within that brings that lonely feelingUnderstand that when you leave hereYou'll be clear, among the better menAlone again Alone againAlone againAlone againAloneAlone againAlone againAlone againAlone",38.60102463,17.53573755,-0.9382,518,Other,0
0.679,0.477,9,-12.097,0,0.0366,0.202,0.178,0.0989,0.531,135.027,audio_features,7qDC0GbdzaDfQ49Z3dKho5,spotify:track:7qDC0GbdzaDfQ49Z3dKho5,https://api.spotify.com/v1/tracks/7qDC0GbdzaDfQ49Z3dKho5,https://api.spotify.com/v1/audio-analysis/7qDC0GbdzaDfQ49Z3dKho5,206950,4,36,Jessie Ware,Tough Love (Deluxe),8/4/14,Tough Love," It’s already the time that you'll hope my mind is trueAnd I’ve been thinking 'bout what to say or not to doSo you wanna be a man about it, do you?And have you figured out all you wanted, have you? When your heart becomes a million different piecesThat's when you won't be able to recognise this feeling That’s called tough loveThat’s called tough loveThat’s called tough loveThat’s called tough love In the middle of the night all I think about is youI dream in all your clouds of glory, it's trueSo you wanna be a man about it, do you have to?And have you figured out all you wanted, have you? When your heart becomes a million different piecesThat's when you won't be able to recognise this feeling",13.37763882,12.89381953,0.9897,1320,Other,4
0.356,0.897,2,-3.82,1,0.0734,0.0019,0.000103,0.277,0.719,153.069,audio_features,5OBx7C6C0Do0S4DH2Hu7Ev,spotify:track:5OBx7C6C0Do0S4DH2Hu7Ev,https://api.spotify.com/v1/tracks/5OBx7C6C0Do0S4DH2Hu7Ev,https://api.spotify.com/v1/audio-analysis/5OBx7C6C0Do0S4DH2Hu7Ev,249933,4,0,Cloud Nothings,Modern Act,10/12/16,Modern Act," Here we are among the livingSee and count your friendsGathered in a room togetherThis is how it endsCan't stand the modern actWhose war is this, what god is that?Feels like the tide is onlyStarting to come in Do you know what it's likeTo be out and alive?To say you're doing alrightYeah, you're doing just fine?When you feel like an oceanComing out of a creekFilling rivers to wait for youWherever you areWhen you're out and aroundAnd all you ever seeAre people looking awayIt's nothing new to me I want a life, that's all I need latelyI am alive but all aloneI want a life, that's all I need latelyI am alive but all aloneI want a life, that's all I need latelyI am alive but all aloneI want a life, that's all I need latelyI am alive but all alone",17.40671921,14.13392186,0.9915,2150,Folk,0
0.797,0.503,7,-4.803,1,0.0438,0.429,0.00013,0.0878,0.502,133.969,audio_features,0TpXXV0Ns8aucrKqc7PTuq,spotify:track:0TpXXV0Ns8aucrKqc7PTuq,https://api.spotify.com/v1/tracks/0TpXXV0Ns8aucrKqc7PTuq,https://api.spotify.com/v1/audio-analysis/0TpXXV0Ns8aucrKqc7PTuq,189018,4,0,Scarlet Pleasure,Lagune,11/17/17,Unreliable," Do you get wild when I'm alone?Do you ever get unreliable?Before you pass out drunk on the floorShining like a Tiffany, do you ever think of me?Or do you get unreliable?Unreliable, unreliable Too much of one thing can make a man wiser, oohI let it all sink and make it seem brighter, brighter, brighter It's so confusing when you do this shit to meI pay, I pay, I pay, I pay to play for keepsComes with the prize and a burdenWhen love goes as deep as you are, as deep as you are, yeah Do you get wild when I'm alone?Do you ever get unreliable?Before you pass out drunk on the floorShining like a Tiffany, do you ever think of me?Or do you get unreliable?Unreliable, unreliable",16.10124016,13.57689446,0.8927,1579,Other,3
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,0FE9t6xYkqWXU2ahLh6D8X,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,https://api.spotify.com/v1/tracks/0FE9t6xYkqWXU2ahLh6D8X,https://api.spotify.com/v1/audio-analysis/0FE9t6xYkqWXU2ahLh6D8X,233713,4,69,Ed Sheeran,Shape of You,1/6/17,Shape of You," The club isn't the best place to find a loverSo the bar is where I goMe and my friends at the table doing shotsDrinking fast and then we talk slowAnd you come over and start up a conversation with just meAnd trust me I'll give it a chance nowTake my hand, stop, put Van the Man on the jukeboxAnd then we start to dance, and now I'm singing like Girl, you know I want your loveYour love was handmade for somebody like meCome on now, follow my leadI may be crazy, don't mind meSay, boy, let's not talk too muchGrab on my waist and put that body on meCome on now, follow my leadCome, come on now, follow my lead I'm in love with the shape of youWe push and pull like a magnet doAlthough my heart is falling tooI'm in love with your bodyAnd last night you were in my roomAnd now my bed sheets smell like youEvery day discovering something brand newI'm in love with your bodyOh—I—oh—I—oh—I—oh—II'm in love with your bodyOh—I—oh—I—oh—I—oh—II'm in love with your bodyOh—I—oh—I—oh—I—oh—II'm in love with your bodyEvery day discovering something brand newI'm in love with the shape of you",16.3765831,13.97926206,0.9993,3164,Other,1
0.517,0.483,5,-7.18,0,0.03,0.58,0,0.101,0.195,82.017,audio_features,1CrTu1tVWPUSkW9OtHM3LK,spotify:track:1CrTu1tVWPUSkW9OtHM3LK,https://api.spotify.com/v1/tracks/1CrTu1tVWPUSkW9OtHM3LK,https://api.spotify.com/v1/audio-analysis/1CrTu1tVWPUSkW9OtHM3LK,180162,3,0,Brendan Murray,Dying To Try,3/29/17,Dying To Try,"Take a leap of faith with meIf you believe honestlyThat I am yours and you are mineI know you’re scared, and so am I‘Cause I know that love can be so strongAnd yet so frailAnd there ain’t no guaranteeThat you and me won’t failBut I’m dying to tryI’m dying to tryI’ll keep you safe in my armsBuild a bridge to your heart every dayI’ll give you it allBut I’m not gonna lie‘Cause no one can promiseThat love will ever learn how to flyWill ever learn how to fly, oh…But I’m dying to tryBut I’m dying to try   Yeah…",17.97616005,14.08410126,0.9894,954,Other,4
0.865,0.316,5,-12.89,1,0.137,0.611,0.281,0.0969,0.821,147.97,audio_features,3NdaKqaVaif1C9rgI7WBZU,spotify:track:3NdaKqaVaif1C9rgI7WBZU,https://api.spotify.com/v1/tracks/3NdaKqaVaif1C9rgI7WBZU,https://api.spotify.com/v1/audio-analysis/3NdaKqaVaif1C9rgI7WBZU,235827,4,26,Marian Hill,ACT ONE,6/24/16,Bout You,BOUT YOU Pulling out the drivewayLooking in the rear viewTaken for a momentThinking that I saw you As I throw this stranger a stareFeel your fingers run through my hairAnd I know that I shouldn't careI shouldn't careAnd you know I hate to rewindJust to pause on you for a timeBut you still end up on my mindYou're on my mind I've been thinking 'bout youI've been thinking 'bout youI've been thinking 'bout youI've been thinking 'bout youI've been thinking 'bout Quiet on the way homeLooking at the street lightsSince I been without youHad a lot of late nights,23.07288361,15.58119499,-0.9413,1784,Other,3
